x, y
,
N,mkm
1,-33.2452
2,-33.00149
3,-32.72556
4,-32.48558
5,-32.30523
6,-32.20755
7,-32.74347
8,-33.33091
9,-33.95388
10,-34.61872
11,-34.62458
12,-34.6699
13,-34.76144
14,-34.76935
15,-34.77565
16,-34.79181
17,-34.80034
18,-34.7362
19,-34.18413
20,-33.82851
21,-33.47899
22,-33.09227
23,-32.66566
24,-32.24186
25,-32.2357
26,-32.25884
27,-32.30909
28,-32.38092
29,-32.46676
30,-32.52903
31,-32.60851
32,-32.74375
33,-32.84784
34,-32.92434
35,-33.04323
36,-33.20863
37,-33.39095
38,-33.49019
39,-33.47995
40,-33.39
41,-33.27826
42,-33.13668
43,-33.00721
44,-32.83424
45,-32.62355
46,-32.36228
47,-32.4439
48,-32.50443
49,-32.53466
50,-32.54055
51,-32.85099
52,-33.02653
53,-33.17102
54,-33.25921
55,-33.34355
56,-33.41261
57,-33.42376
58,-33.37381
59,-33.31705
60,-33.3684
61,-33.49017
62,-33.60065
63,-33.62059
64,-33.56972
65,-33.31598
66,-33.1153
67,-32.92474
68,-33.24732
69,-33.25521
70,-33.21534
71,-33.09209
72,-32.92703
73,-32.63385
74,-32.34943
75,-32.34843
76,-31.08934
77,-29.99538
78,-28.83613
79,-28.07805
80,-27.48726
81,-27.27764
82,-27.34048
83,-27.52122
84,-27.71164
85,-27.82849
86,-27.30496
87,-26.91271
88,-26.59892
89,-26.39259
90,-25.75965
91,-25.27739
92,-25.08475
93,-25.15882
94,-25.39035
95,-25.64023
96,-25.8352
97,-25.93351
98,-25.89654
99,-25.78531
100,-25.73861
101,-25.81487
102,-25.91108
103,-25.90367
104,-25.80298
105,-25.68753
106,-25.61515
107,-25.5969
108,-25.61771
109,-25.67807
110,-25.7894
111,-25.91885
112,-25.98053
113,-25.94242
114,-25.88346
115,-25.90323
116,-26.02705
117,-26.18582
118,-26.3144
119,-26.40292
120,-26.46225
121,-26.49067
122,-26.47787
123,-26.43985
124,-26.43299
125,-26.51328
126,-26.66677
127,-26.65274
128,-27.82069
129,-28.59261
130,-29.99183
131,-32.02472
132,-36.12159
133,-33.60457
134,-32.726
135,-32.30871
136,-32.28962
137,-32.74334
138,-33.16091
139,-32.92762
140,-32.65236
141,-32.4403
142,-32.32438
143,-32.30075
144,-32.37413
145,-32.51756
146,-32.63928
147,-32.63299
148,-32.40635
149,-32.21311
150,-32.0816
151,-32.02461
152,-31.99223
153,-31.9556
154,-31.91318
155,-31.90789
156,-31.95734
157,-31.99703
158,-31.9612
159,-31.85128
160,-31.7244
161,-31.62234
162,-31.54884
163,-31.50152
164,-31.46341
165,-31.34833
166,-31.19748
167,-31.05942
168,-30.9744
169,-30.89643
170,-30.86692
171,-30.82501
172,-30.67949
173,-30.41587
174,-30.24929
175,-30.26568
176,-30.4225
177,-30.67565
178,-30.9211
179,-31.06552
180,-31.11055
181,-31.10218
182,-31.09551
183,-31.22065
184,-31.35815
185,-31.66959
186,-32.01279
187,-32.47391
188,-32.76005
189,-33.07206
190,-33.22555
191,-33.34892
192,-33.41048
193,-33.48902
194,-33.53741
195,-33.49704
196,-33.36038
197,-33.19349
198,-33.0536
199,-32.91072
200,-32.73946
201,-32.5765
202,-32.60773
203,-32.83375
204,-33.01019
205,-32.70224
206,-32.87331
207,-33.0171
208,-33.20206
209,-33.35984
210,-33.3975
211,-33.34826
212,-33.31755
213,-33.31236
214,-33.25391
215,-33.08775
216,-32.98867
217,-32.67053
218,-32.64327
219,-32.66095
220,-32.62393
221,-32.50946
222,-32.3216
223,-32.04514
224,-32.99261
225,-33.79425
226,-34.81178
227,-35.96078
228,-36.88992
229,-37.93274
230,-39.01169
231,-40.5458
232,-41.98433
233,-43.74598
234,-45.37396
235,-47.1685
236,-48.32726
237,-49.14901
238,-49.66604
239,-50.46396
240,-51.07792
241,-51.85037
242,-51.95975
243,-52.26986
244,-52.73151
245,-52.38539
246,-52.11893
247,-51.88638
248,-51.72428
249,-50.18069
250,-49.85693
251,-50.36422
252,-51.17002
253,-52.49266
254,-53.84036
255,-55.04425
256,-55.72311
257,-56.90072
258,-56.40221
259,-56.90598
260,-55.99199
261,-56.64133
262,-56.57586
263,-56.49791
264,-56.38947
265,-56.23016
266,-56.08115
267,-56.0758
268,-56.16925
269,-56.33462
270,-56.40438
271,-56.44559
272,-56.51298
273,-56.56561
274,-56.19889
275,-56.25144
276,-56.94654
277,-56.59856
278,-56.17904
279,-56.07409
280,-56.31264
281,-56.53094
282,-56.69687
283,-56.74181
284,-56.6897
285,-56.38247
286,-55.86322
287,-54.64543
288,-52.64723
289,-50.58927
290,-48.14893
291,-46.39088
292,-44.74574
293,-43.53665
294,-42.31931
295,-40.47203
296,-39.20961
297,-38.0982
298,-37.26924
299,-35.95773
300,-34.30545
301,-32.9461
302,-31.5348
303,-29.66154
304,-27.79508
305,-25.70468
306,-23.88291
307,-21.82011
308,-20.36225
309,-19.06548
310,-18.27482
311,-17.89895
312,-17.90886
313,-17.76858
314,-17.16359
315,-16.68284
316,-16.27229
317,-15.99271
318,-16.00535
319,-15.60569
320,-15.21307
321,-14.79596
322,-14.22812
323,-13.57693
324,-12.78749
325,-12.01862
326,-11.31335
327,-11.46238
328,-11.58394
329,-11.64939
330,-11.62336
331,-11.46483
332,-11.20274
333,-11.02671
334,-10.99566
335,-10.9964
336,-10.98389
337,-10.97969
338,-11.01374
339,-11.13089
340,-11.40793
341,-11.73351
342,-11.83588
343,-11.84285
344,-11.87442
345,-11.94822
346,-12.10817
347,-12.42859
348,-12.81366
349,-13.04572
350,-13.13606
351,-13.16501
352,-13.15202
353,-13.13729
354,-13.06209
355,-12.90084
356,-12.63506
357,-12.38821
358,-12.44395
359,-12.47908
360,-12.65164
361,-12.76278
362,-12.78742
363,-12.73662
364,-12.65109
365,-12.56952
366,-12.48196
367,-12.38126
368,-12.33511
369,-12.37415
370,-12.4424
371,-12.49657
372,-12.51397
373,-12.47989
374,-12.404
375,-12.32021
376,-12.25615
377,-12.17579
378,-11.8294
379,-10.81247
380,-10.06916
381,-9.91578
382,-9.93531
383,-9.99539
384,-10.08558
385,-10.25396
386,-10.56684
387,-10.98764
